House Name,Location,Price,Review Number,Rating,House Interior,Amenities
Secluded Magical Rainforest Retreat,Main Arm,$170 AUD,346 reviews,4.98,"['Entire cabin', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Free parking on premises', 'Pay TV']"
The Stables Central Coast,Holgate,$149 AUD,141 reviews,4.96,"['Entire cabin', '2 guests', '1 bedroom', '1 bed']","['Free parking on premises', 'Kitchen', 'Air conditioning']"
The Boat House,Milsons Passage,$120 AUD,124 reviews,4.81,"['Entire cabin', '4 guests', 'Studio', '2 beds']","['Hair dryer', 'Hangers', 'Shampoo']"
Strawbale cottage set in bush garden,Leura,$135 AUD,328 reviews,4.95,"['Earth house', '3 guests', '2 beds', '1 bath']","['Free parking on premises', 'Dryer', 'You’ll have the space to yourself and will only share it with those you’re travelling with.']"
"Modern, Secluded Cabin with Stunning Bay Views",plus,$225 AUD,231 reviews,4.9,"['PLUS House', '2 guests', 'Studio', '1 bed', '1 bath']","['Kitchenette', 'Dishwasher', 'Wi-Fi', 'TV', 'Bathroom essentials', 'Bedroom comforts', 'Coffee maker', 'Hair dryer']"
Broken Head Bodhi Treehouse,Coopers Shoot,$155 AUD,510 reviews,4.96,"['Treehouse', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Free parking on premises', 'Laptop friendly workspace']"
Nearest neighbour is World Heritage,Cambridge Plateau,$95 AUD,430 reviews,4.95,"['Entire cabin', '2 guests', 'Studio', '1 bed']","['Indoor fireplace', 'Heating', 'Hot water']"
WaterDragon Studio Apartment,Byron Bay,$225 AUD,311 reviews,4.93,"['Entire house', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Hot tub', 'Free parking on premises']"
The Copa Cabana,Copacabana,$200 AUD,160 reviews,4.83,"['Entire guesthouse', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Hot tub', 'Pool']"
Forest Cabin Byron Bay Hinterland,Goonengerry,$149 AUD,168 reviews,4.84,"['Entire cabin', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Free parking on premises', 'Air conditioning']"
Merimbula Something  Special,Merimbula,$99 AUD,226 reviews,4.97,"['Entire guest suite', '2 guests', '1 bedroom', '1 bed']","['Heating', 'Hot water', 'Iron']"
Strawbale earth home in the Blue Mountains.,Hazelbrook,$109 AUD,289 reviews,4.8,"['Earth house', '6 guests', '2 bedrooms', '5 beds']","['Free parking on premises', 'Laptop friendly workspace', 'Indoor fireplace']"
JR's Ecohut - Kimo Estate,Nangus,$350 AUD,58 reviews,4.88,"['Tiny house', '2 guests', '1 bedroom', '1 bed']","['Indoor fireplace', 'Heating', 'Hot water']"
A Romantic Orchard Escape in The Blue Mountains,Blackheath,$395 AUD,100 reviews,4.98,"['Farm stay', '2 guests', '1 bed', '1 bath']","['Free parking on premises', 'Shampoo', None]"
"""The Shed""",Leura,$195 AUD,205 reviews,4.96,"['Entire cabin', '2 guests', '1 bedroom', '1 bed']","['Free parking on premises', 'Indoor fireplace', 'Essentials']"
"CLIFFTOP AT HEPBURN (SERENITY), Australia's No.1",Hepburn Springs,$349 AUD,112 reviews,4.96,"['Entire villa', '4 guests', '2 bedrooms', '3 beds']","['Kitchen', 'Free parking on premises', 'Hot tub']"
My Cabin,Katoomba,$96 AUD,302 reviews,4.97,"['Entire cabin', '2 guests', '1 bedroom', '1 bed']","['Kitchen', 'Air conditioning', 'Free parking on premises']"
"Byron country cabin 2, 3km to Byron",Byron Bay,$149 AUD,179 reviews,4.87,"['Farm stay', '3 guests', '1 bedroom', '2 beds']","['Kitchen', 'Free parking on premises', 'Laptop friendly workspace']"
Hunter Valley Barrington Villa Lake/Mountain Views,Belford,$195 AUD,112 reviews,4.99,"['Entire cottage', '2 guests', '1 bedroom', '1 bed']","['Wi-Fi', 'Free parking on premises', 'Kitchen']"
Take the Ferry to the Little Black Shack,plus,$600 AUD,104 reviews,4.98,"['PLUS House', '4 guests', '2 bedrooms', '2 beds', '1 bath']","['Full kitchen', 'Dishwasher', 'Wi-Fi', 'TV', 'Bathroom essentials', 'Bedroom comforts', 'Coffee maker', 'Hair dryer']"
Breathtaking View - the Den of the Treehouse.,The Pocket,$185 AUD,195 reviews,4.86,"['Treehouse', '3 guests', '1 bedroom', '1 bed']","['Kitchen', 'Free parking on premises', 'Breakfast']"
Belle-Gordon Garden Studio - Blue Mountains,Blackheath,$90 AUD,328 reviews,4.98,"['Entire guest suite', '2 guests', '1 bedroom', '1 bed']","['Pay TV', 'Air conditioning', 'Free parking on premises']"
Studio in the heart of Sydney CBD @ Circular Quay,Sydney,$126 AUD,280 reviews,4.81,"['Entire apartment', '3 guests', 'Studio', '1 bed']","['Wi-Fi', 'Pool', 'Kitchen']"
The Greenhouse Studio,Vincentia,$140 AUD,143 reviews,4.98,"['Entire guest suite', '2 guests', 'Studio', '1 bed']","['Free parking on premises', 'Laptop friendly workspace', 'Shampoo']"
HamptonsShack Boathouse   Waterfront and Hot Tub,Dangar Island,$225 AUD,100 reviews,4.89,"['Entire cottage', '4 guests', '1 bedroom', '3 beds']","['Kitchen', 'Shampoo', 'Essentials']"